tweet,class_a,class_a_code,PredictedProb
'osho quotes via listen continuously giving hints still small voice shout true little silent start feeling way person never try',NOT,0,0.19927496
'yyc looking hockey players agesabilities humboldt tribute game sunday arrive pm dress participate opening ceremony contact lindsayclothier interested weplayforthem humboldtstrong hockeyisfamily gonucks',NOT,0,0.24839756
'conservatives brexit putting britain last sending chill spine uk',NOT,0,0.13744496
'gamers go follow twitter twitch playing blackops blackout please help support twitter twitch remember supportforsupport supportallstreamers',NOT,0,0.18556364
'quicktip find people already working company within industry interested know lot people send us resume info message us right',NOT,0,0.36555615
'liberallogic liberals get way',NOT,0,0.3201232
'arianaasesina serious holy shit please fucking assholes dont blame someone death one sad enough today dont see isnt fault none overdose died end stop wanting someone blame fuckers',OFF,1,0.6125073
'hiding ugly personality worst',OFF,1,0.30105236
'bitch',OFF,1,0.30105236
'georgetown classmate says left accuser absolutely nuts judge kavanaugh abc cbs democrats liberals women mondaymotivation mondaymorning veterans law maga gop cnn msnbc nbc moms blackwomen bet',NOT,0,0.7949963
'referring lollygag gun control kids get slaughtered schools',NOT,0,0.54851073
'im shocked learn human traffickers guns probably illegal ca needs gun control dont worry actual crime pic black guns worse',OFF,1,0.7513116
'weloveseungcheol happy proud work done train seventeen along members see wonderful incredible really love u',NOT,0,0.1696722
'chequers violation democracy standupbrexit people must respected',NOT,0,0.34967726
'sessions tells chicago want shootings death listen aclu antifa blacklivesmatter',NOT,0,0.30890933
'conservatives youre clown',OFF,1,0.3942209
'voice head transfer money credit card bullshit bought pay',OFF,1,0.60957485
'levi strauss never afraid take unpopular stand support greater good shut manufacturing america wasnt even news story happened maybe theyre right wasnt unpopular',NOT,0,0.5927655
'wedding clintons always know whats best',NOT,0,0.2166336
'kids beating paraplegic trump boy left teach children hate violence schools teachers democrats liberals walkaway moms mother nea teachthemyoung christian catholic jews evangelicals family blackwomen blacktwitter blacks news media disabled maga',OFF,1,0.7038208
'b j r b q b bx b rb z b q b h b h ut b',NOT,0,0.51881844
'askally say adore great person please take care always',NOT,0,0.2481271
'doj employee resisters r looking conservatives license plates home addresses legal details lexisnexis give dem socialistsantifaproject veritasbut dont worry govt history ever made political opponent lists oppressed',NOT,0,0.4191337
'kelly mcparland latest floorcrosser telling truths liberals dont like hearing',NOT,0,0.40239826
'greatawakening qanon patriotsunited wwgwga areyouawake awake see clearly check video',NOT,0,0.21888262
'boycottlevis since late levis used name resources attack gun rights company gave gun control group pax followed donation another',NOT,0,0.36923587
'fucking serious',NOT,0,0.7393685
'gets bitches',OFF,1,0.30105236
'got pretty deep debate friend told latinos trump blacks trump paid supporters said mean antifa paid domestic terrorist said antifascist said fascist kidding',NOT,0,0.8977141
'antifa take note protest civility socialism aka communism never win inherently evil unsustainable',OFF,1,0.27314478
'gmm roastmycat hi fiona weeks old falls asleep weird places',NOT,0,0.35385698
'omg real happened peru like years ago inti devaluated fucking much comoletely change coin system money worthless',OFF,1,0.76972944
'conservatism disagreements conservatives conservatives cant debate honestly integrity whatever gets thru today matters theyre fundamentally dishonest people',OFF,1,0.19608663
'halloween sign reading creepingup behind wood wall decoration tmtinsta cwsigns via',NOT,0,0.1453095
'huniachiweek matter going today past days situation never permanent god going change life good trust believe able please read',NOT,0,0.51426405
'point contention decided keep group top end talent also decided hire hot trash mike mccoy wilks hasnt even able get defense line correctly head',NOT,0,0.58017045
'yet everyone seems lack',NOT,0,0.36489993
'maga expect censorship',NOT,0,0.2903774
'apparently im committed going new level since used key well fuck curiosity killed cathy',OFF,1,0.8017651
'ne need check dentist find perfect work record child care facility check online kinds licensed professionals free',NOT,0,0.23739024
'arent many shootings virginia jacksonville shooter got guns maryland among poster children gun control good youre full crap',OFF,1,0.7999995
'amnestyinternational us violation international human rights law passing stronger guncontrol via',NOT,0,0.23814888
'well chuck schumers cousin niece something obviously part dnc conspiracy nixon part deep state zionist plot big comedy whatever hell todays conspiracy theory',NOT,0,0.41828334
'godspraiseroom god keeps even storms may rock boat lets submit one really knows end beginning',NOT,0,0.72552323
'spaldo guy godson',NOT,0,0.44549042
'antifa bedfellows democratic socialists america dsa jamesokeefe exposed inserted throughout government attempting bring america trump maga deepstate',OFF,1,0.31816626
'cnn ruthlessly continues fakenews onslot wheres honest analysis right tcot cnn nra massshooting cnnisfakenews conservatives fakenewsmedia fakenews pba fakenewscnn',NOT,0,0.18051393
'brexit barometer labour fails capitalise conservatives fail please kantar nearly two thirds uk believe government handling brexit negotations poorly',NOT,0,0.10894193
'antifa ts level influence scary',OFF,1,0.21965508
'three accounts two quasianonymous one completely anon twitter ever bans one quasianon ill make two anon accounts tweet insane shit drown twitter bullshit one banned ill make even',OFF,1,0.9448614
'maga alert joe biden trump supporters dregs society video via',NOT,0,0.18047372
'cerc boyds stock sole holder stock among hedge funds track',NOT,0,0.46034136
'city chicago democrat run strictest gun control nation whats point notthatbright',NOT,0,0.400536
'liberals pathetic innocent proven guilty mean much democrats look party need rapist hang kavanaughisinnocent walkawayfromdemocrats liberallies straight pitts hell',OFF,1,0.707668
'trump may many things entertaining thanks twitter',NOT,0,0.2021861
'million reallocated fema ice guy gives zero shits anyone named trump youre mid atlantic get',OFF,1,0.8097778
'fortnitebattleroyale xboxshare please ban cheating scum literally invisible',OFF,1,0.5779113
'read man invented bulbs saw failure differently new wayz differentlynow genius',NOT,0,0.14177243
'aunfettered repeal gun control laws government use people able well',NOT,0,0.13459939
'good thing responsible us marines im pretty sure group antifa members wouldnt running fast direction help anyone let alone elder seniors thank salute',NOT,0,0.19298276
'fordtheatre right cue gofundme acct set person new liberals mode bribery payoffs really investigate gofundme new outlet slush funds comey mccabe strzok',NOT,0,0.09387764
'christian twitter facebook silence conservatives christians next censored darkness takes help us grow living faith aloud go one go prayer warriors please help us grow movement',NOT,0,0.19645716
'ixine aus den speakern fick deine political correctness',NOT,0,0.34271473
'fall fashion trending coats colors looking airdrie calgary lethbridge toronto vancouver princegeorge',NOT,0,0.32687902
'republicans put wallin budgetyou going loose prestrump followers u r support',NOT,0,0.26297268
'gmm roastmycat hi fiona weeks old falls asleep weird places',NOT,0,0.35385698
'sesamestreet bertandernie conversation unattractive creator says didnt create character gay attacked',OFF,1,0.3281278
'serenawilliams full herselfshe painful watch listen',OFF,1,0.5318806
'colinkapernaeck done nothing sit ass complain time black people die hard white liberals think cause aka wake heck stfu colin civil rights hero martyr near',OFF,1,0.7404608
'danganronpav claiming mastermind yet still dont believe dont think hes mastermind evidence suggests theres evidence suggests hes',NOT,0,0.24135824
'monbebeselcaday beautiful',NOT,0,0.30105236
'lockhimupnow maga qanon best president ever',NOT,0,0.1621588
'goodbyenfl great players became marxists ill keep nixing sports league displays support bs oppression narrative goodbyenike',NOT,0,0.61932206
'liberals left democrats resist resistance antifa bluewave bluewave walkaway maga',NOT,0,0.5722687
'emailmarketing sales teach create exclusive online traffic economy never short leads sales',NOT,0,0.27820444
'jeff sessions listen aclu antifa black lives matter want chicago shootings',OFF,1,0.28686246
'amazon ship live christmas trees door stay put damn lights',OFF,1,0.6838816
'sweet congratulations house broken get better',NOT,0,0.19037439
'bet lot safer sex tho wouldnt one kids cant moms get dicked',OFF,1,0.5533924
'speaks nsfw',NOT,0,0.30105236
'jameycomey silent last weeks knows hes going indicted fbi doj strzok page textmessages qanon patriotsfight ty maga',NOT,0,0.40059367
'supernaturaltnt themanwhowouldbeking omg amazing crowley cas always great together miss',NOT,0,0.1455652
'available adoption lincoln county nc roger sex maleneutered age weeks old intake',NOT,0,0.6155622
'conservatives govt made life hell whistleblowers say threatened regulator thought govt promised protect whistleblowers',OFF,1,0.3025436
'apple live keynote appleevents',NOT,0,0.30316585
'zuckerberg lies',NOT,0,0.30105236
'lilduval know u aint going work tomorrow happyfriday smilebitch livingmybestlife hittemwithdashoulders',NOT,0,0.3053488
'antifahorst whuuuuut antifa maassen seehofer',NOT,0,0.21015532
'notetomystalker n empire trust penance life n career true nature leave stone unturned getting left nothing every one matter powerful',NOT,0,0.5211744
'freeleahshaibu negotiate release someones daughter',NOT,0,0.30105236
'serenawilliams serena caught cheating coach collaborative thinks thief mind real thief umpire spotted going called like couple bank robbers blaming guard calling police',NOT,0,0.73649174
'antifa retweet cant stop watching',NOT,0,0.31256965
'notout thank following leicester voteforchange localelections votetory voteconservative cutcrime cutredtape cuttaxes cutgrass betterserviceslowertaxes',NOT,0,0.17779757
'thingsyoushouldneverassume someone says shehe okay smile maybe heshe doesnt wanna worry',NOT,0,0.30611855
'repost getrepost love fooled mistakes made dark images hold remember beauty feel',NOT,0,0.16816512
'nick gehlfuss stan watched friends going stop tvtime',NOT,0,0.6677822
'seo tips master fate online wise dont expect pity screw nobody else blame',NOT,0,0.5528472
'fortnitebattleroyale xboxshare please ban cheating scum literally invisible',OFF,1,0.5779113
'maga qanon greatawakening inners wwgwga nowcomesthepain walkaway goodbyedemocrats ellison accuser says shes sidelined party',OFF,1,0.29625124
'truth show build personal online traffic economy never short supply qualified prospects sales',NOT,0,0.2710693
'gun control im wondering control bodies got suicided need controlled gitmo pain coming maga qanon benghazi hope televise demise',NOT,0,0.2361614
'antifa new cause',NOT,0,0.09298701
'balkan conservatives unite family congress moldova',NOT,0,0.19783789
'boycottnfl dead',OFF,1,0.30105236
'walkawayfromalldemocrats michelle years sure dont need bad advice new sheriff town whos maga get vote colors genders aka americans',OFF,1,0.16490757
'constitutionday enforce us immigration laws one set laws illegal aliens one set laws citizens trump maga rednationrising nodaca',NOT,0,0.51838803
'blaseyford comical liberals always want ways first women need treated equals comes ford testifying say unfair men asking questions dems women equal receive special treatment',OFF,1,0.41350985
'gun control kills people need concealed carry',NOT,0,0.42090577
'ted always feel appropriate public behavior often unable control gopdysfunction',OFF,1,0.28069258
'followthewhiterabbit qanon greatawakening spygate walkaway qanon qarmy maga google maga poland fisadeclassification dearprofessorford dem us senator corey booker molesting year old surfaces',NOT,0,0.37280592
'stick comedy werent funny yo start political commentary pathetic',OFF,1,0.37278083
'holder needed impeached',OFF,1,0.30105236
'wearebroncos little guy loves broncos one biggest fan beon',NOT,0,0.5130399
'bbcnews cleverly cuts nhs james cleverly conservatives coalition health spending',NOT,0,0.17509113
'cute hell love looks like antifa protestor really freezing cold hunter need dye hair omg loved redhead',NOT,0,0.38184533
'believeallwomen think things cant get dumber happens liberals probably dont realize children isnt equality treat women men pretty sure thatll better results culture',OFF,1,0.78278
'today two important days life day born day find mark twain',NOT,0,0.10064727
'theladybam spoken simply best spreadmarylove onward',NOT,0,0.1418011
'media credentials poc problem please send dm like tweet',NOT,0,0.4238698
'alert win progressive conservatives ontario court appeal granted stay bill cut number toronto city councillors',NOT,0,0.3247743
'sierraburgessisaloser phone dings',OFF,1,0.30105236
'metoo racist',OFF,1,0.30105236
'gop still acting like wimps havent yet realized liberals hate regardless sentiments either republicans stupid get way theyre tilted far left confirmkavanaughnow',OFF,1,0.88207066
'serenawilliams first mother womens tour embarrassingly entitled bully yes kim clijsters winning major year baby',NOT,0,0.19968154
'thearchers want brilliant karate kick shit everyone',OFF,1,0.9018011
'fed agency hijaked info fed agency extremist group secretly funded antifablmsoroscia',NOT,0,0.2385439
'baldwinfundraises k street firm working probono gun control lobby law tammybaldwin fundraiser',NOT,0,0.49896258
'aafiasiddiqui convicted terrorist widely hailed daughter pakistan',NOT,0,0.60602206
'dregsofsociety deplorables liberals usually dehumanize want exterminate later',OFF,1,0.2813464
'aldubloveandbeyond rise life friends know fall know friends',NOT,0,0.33485165
'gemini woman cannot change scene liable change cast',NOT,0,0.29477718
'wce favorite girl hope day awesome',NOT,0,0.16090408
'emmyawards ratings tank expected possibly stand watch many liberals one place one time',OFF,1,0.31405482
'cult like caps hmm else see cult like caps maga',NOT,0,0.56341845
'eagles setting workout jeremy maclin according cant week though still hurting',NOT,0,0.2325656
'lets friends civil discussion totally fine told face life sinful criticize ever lightly civil anymore deserves block',NOT,0,0.3178258
'gutierrez always nothing racebaiter',OFF,1,0.35130557
'disarmthem antifa give jack participation trophy',NOT,0,0.19078323
'cognitivedissonancechallenge one painful conservatives proceed caution',NOT,0,0.20169309
'chequers crashes burns strasbourg along mays hopes clinging powerher support ebbing away party parliament country time load webley',NOT,0,0.6197843
'johnfund kavanaugh ford controversy even honest liberals upset via',NOT,0,0.22605786
'elitist actors nbc liberals dems hollywood emmy awards toothless nbc selfpromotion onslaught peppered metoo cracks planned staged okay democrats socialist liberals left walkaway',OFF,1,0.5582319
'kellerman knows thing average man boxing brady hater say rodgers maybe better thrower ie dan marino better qb brady jut look playoff record',NOT,0,0.4429969
'drford dearprofessorford fraud female group paid organized georgesoros',OFF,1,0.40291414
'osaka says crowd noisy really didnt c going focus cuz great champ confused score went',NOT,0,0.39492586
'bluewave dumptrump give love cooperatecompromise w conservativestrump supporters constantly vilify marginalized groups constantly attack womens rights make choices bodies',OFF,1,0.30107695
'takes season opener saturday highlights',NOT,0,0.30105236
'ummmm fascism actually started mussolini italy antifa part anonymous anonymous censor like antifa related anonymous anti censorship',NOT,0,0.24094772
'nightmayor dt cycle track easily open antifa tennis courts inside crescent heights able trash nenshis communist vape shop',OFF,1,0.3624067
'mplspotlight met stefanie shes newest adult services librarian putting lot hours cleaning collections favorite find book unique homes see sure say hi monrolib',NOT,0,0.25218263
'arunjaitleystepdown shameless fm history india audacity shamelessness lies public disgrace post',OFF,1,0.8459522
'canadas liberal government rejects recommendation political parties comply privacy laws facebook cambridgeanalytica scandal',NOT,0,0.320213
'marry please roguebot',NOT,0,0.24133937
'conservatives bn housing ontrick crock shte housingcrisis',OFF,1,0.1789223
'weeks resp done still dont know shit ass still vacation mode',OFF,1,0.9659431
'nabjesus wont reject ucome homeward bound towards heavens kingdom open door',NOT,0,0.46422464
'nickelodeon kallysmashup angelsheartthe forceof characterof goddessand lightshinesas much like starshe maiareficco',NOT,0,0.46582222
'coupdetat spain catalona spain fakedemocracy cddr shameonspain wakeupeurope',OFF,1,0.30105236
'analysis supporters peoples party canada would likely bristle called liberal beliefs fit classic definition',NOT,0,0.54890156
'barbiedreamsvideo saw genius interview thank loving us much way love barbie beauty brains',NOT,0,0.13772486
'justiceforsoniasfather plz help sonia pain pti officials responding also getting trouble pmln goons plz help thanks',NOT,0,0.17999725
'ok eric holder talking gun control pulled times im going keep reposting everytime gets taken',NOT,0,0.5386212
'conservatives today',NOT,0,0.28668228
'liberals democrats use first step food preparation',NOT,0,0.33665037
'liberalismisamentaldisorder also danger country liberals showing utterly hateful care truth care power',OFF,1,0.7333665
'florencehurricane hours sustained lethal cyclonic forces hours impact northcarolina southcarolina georgia dont stupid get away areas florence sep pm nyc miami houston chicago nj ca la',NOT,0,0.85479355
'antifa uklabour fbpe sutr pay attention forbritain fighting',NOT,0,0.23561451
'expert ni blocks anyone challenges viewshe wants view heardhe obsessive love eu',NOT,0,0.40647742
'antifa demo memory killahp greece',NOT,0,0.1805494
'coranated attacks idiot loons get worse much worse election u imagine idiots want get rid economy along interest rates polished politician idiots',OFF,1,0.62535286
'awwww stinking cute old',OFF,1,0.30105236
'benghazi haiti uraniumone sethrich justice department need double standards youre rich powerful doesnt mean rob seal murder draintheswamp hillaryforprison votered maga',OFF,1,0.37340614
'blackeyedpeas tackle gun control social justice new song big love single highlights groups first album eight years masters sun',NOT,0,0.098676555
'censorship awake yet ask conservatives censored walkaway',NOT,0,0.15429169
'didnt beat like said looking delicious say clean bruised knuckles nobody talks woman wayexcept pulls lap want kiss make feel better tease',NOT,0,0.5325226
'jointhefight join fight american communists democrats liberals taken crap edge coming back openly promoting destruction america jointhefightagainstcommunism',OFF,1,0.64030063
'art artistsontwitter soul goodbusiness entrepreneur success excellence womaninbusiness mindblowing quotestoliveby gentle child universe less trees stars right max ehrmann',NOT,0,0.20462975
'icymi welcome anna grey barbour womens volleyball team anna terry sanford high school graduate studying dental hygiene college proud make trojan anna good luck season blackngold trojans',NOT,0,0.16422363
'biggbosstamil biggbosstamil biggbosstamil intha aishwarya va kuda manichirlam ana intha yashika biggest reason every fight bb house yet foolish people support tasks',NOT,0,0.47768098
'totallyblogging want know keep focus blogging easier said done start take look stop quitting ukbloggers fbloggers bbloggers lbloggers',NOT,0,0.74748987
'stated talk zionist involvement metaphysical masturbation disinformation agent taking advantage people lesser intellect ashamed hes hes zionel',OFF,1,0.16810298
'update new projections state hurricane florence may travel coastline entire ncsc coast possibly suffering florences deadly storm surge greatly increasing seriousness rainwind south carolina surrounding areas even possibly georgia',NOT,0,0.262707
'liberals like economics dont even know gender',NOT,0,0.65815544
'khaleesi kinda watching hiac wtf think person pffft pathetic',OFF,1,0.21459678
'females b shit',OFF,1,0.898901
'brexit uklabour labour conservatives plaidcymru greens politics eu poll',NOT,0,0.15964971
'breakingnews via nyt new york times',NOT,0,0.13042969
'hchottestceleb round match scarlett johansson vs emma stone poll',NOT,0,0.23989056
'sugardaddy retweet want daily usacanada uk sugarbabyneeded sugarbabywanted findom sugarbaby canada',NOT,0,0.19066276
'declassifydocuments love watching liberals like maria squirm outnumbered',OFF,1,0.33316004
'politicsinfocus look donald duck stop patronizing',OFF,1,0.4823782
'naturephotography nature birds wild wisconsin photography picoftheday pics fridaymotivation fridayfeeling instagramers hope amazing day',NOT,0,0.13030885
'carolineforbes needed help posted sl dm audition',NOT,0,0.22346252
'wcw mean hey great friend happy help missions anything else might need',NOT,0,0.21829492
'would offbalanced exactly smart basic grappling might instinct antifa used basic grappling cross side collar snap stepping weak single leg attempt',NOT,0,0.19543152
'cancer hate crime isnt actual crime theres victim called crime malum se hate crime socially engineered programming control peoples behavior like gun control changemymind',NOT,0,0.7655809
'carbontax works put tons money back canadian pockets part trudeau campaigning national carbon tax conservatives died want another death oblige',OFF,1,0.5706939
'antonia evans either sex trafficked cremated',OFF,1,0.5226211
'repost thesavoyshow getrepost markknight says racist drawing racist picture serenawilliams yall believe nah',NOT,0,0.8790304
'worrying thing teaching young adults',NOT,0,0.2723543
'walkaway democratsocialists socialists socialism resist communists antifa cult crazy insane mentalillness emptyheaded berniesanders venezuela trillion new taxes alexandriaocasiocortez ocasiocortez endorsementfail missvenezuala alexandria ocasio cortez',NOT,0,0.2568077
'theview stormy trapped dollar bill face poor pornstar worries democratic party leader',OFF,1,0.7135294
'proudalumnus keep great work dont forget great leadership take time soak skills aim teach',NOT,0,0.3511763
'wildcardwednesday maxdrivewildcardwednesday onairwithshine np happier ft maxdrive w radioenchantress',NOT,0,0.31198433
'deep end calls intervention',NOT,0,0.2756236
'cnbc whats go talk gender gap silicon valley wont talk gap conservatives emocrats bias',NOT,0,0.17331998
'million funding competition us cities thats nice',NOT,0,0.43186566
'chicom spy clubgitmo',NOT,0,0.30105236
'repost cant forget give props naomi osaka played idol someways win overshadowed humbled',NOT,0,0.2220893
'entertainment agencies gonna ass',OFF,1,0.8466685
'obviously getting suspended asset anyone',NOT,0,0.2809581
'trump really everything trump another piece evidence obstruction justice talking crime machine',OFF,1,0.6370199
'canada exclusive trudeau liberals leave meant help veterans unspent since taking office',NOT,0,0.17119713
'show us hot',NOT,0,0.3377382
'yet answer realistically enforceable gun control law would prevent tragedies without violating due process hipaa',NOT,0,0.30277032
'disarmthem goes show moronic antifa types good way encourage dumbass rightfully get speedrocked open carry users practice weapon retention gun grabs go badly try get shot dont',OFF,1,0.43954983
'maga got ideas could done',NOT,0,0.26690814
'christinebford liberalsaredesperate every time liberals dont get way cry racism sexual assault hard believe',OFF,1,0.7453056
'cant summarize rankings game mode one picture',NOT,0,0.26128113
'learn become better instead remaining stuck become bitter clifeclearly clifethryve aboutthatlife clifemacon',NOT,0,0.681852
'kamalaharris may run president never potus sadly guaranteed leadership role politics much like diannefeinstein thats reality liberal california ask nancypelosi chuckschumer cnn msnbc',NOT,0,0.5791455
'levi strauss never afraid take unpopular stand support greater good shut manufacturing america wasnt even news story happened maybe theyre right wasnt unpopular',NOT,0,0.5927655
'repost giving word jacket preach saynotofuckboys dontgiveyourmagictomuggles',NOT,0,0.19831154
'emmys sooo lovely love dress colour design looks like fairy tales tender',NOT,0,0.25894344
'change remember past administrations chant change change carried baton nothing potus making changes says far better like swampies liberals lefties hatin dont hatin',NOT,0,0.5576291
'open letter mac miller',NOT,0,0.30105236
'cincinnatienquirer steps gun control finally took massshhoting damn door step editors wake better late never',OFF,1,0.679605
'bitch im fucking coming back',OFF,1,0.69932395
'liberals reaching peak desperation call phillipruddock talk turnbull convince help wentworthvotes sept auspol lnp nswpol lnpmemes',OFF,1,0.2221742
'chicago stricter gun control doesnt work',NOT,0,0.20700617
'uicideboy halloween aboout get sooooo fucking spooky',OFF,1,0.8753639
'im glad always goes something reckless show going coming back everytime jeff best',NOT,0,0.1268683
'democrat controlled city strict gun control laws wants blame gop um isnt rich democrats trying keep blacks poverty walkaway',OFF,1,0.681024
'got love people making laws tend know nothing subject theyre making law hear gun control laws people try pass states',OFF,1,0.63284945
'cant hear saying',NOT,0,0.3605133
'penny believes intelligent knows willi think may smartest canadianever canadians fun watch get twitter us find anyone opinion like rushand hockey',NOT,0,0.57961565
'sandraohoh love brought parentsthey epitome grace beauty',NOT,0,0.19418988
'healingyourself connected healingothers',NOT,0,0.30105236
'christineblaseyford needs testify oath anything claims investigated far claims investigated comes word vs kavanaughs approved soon possible full stop maga qanon',NOT,0,0.68649817
'maga antifa website instructing hurt multiple police officers cross border',NOT,0,0.33305353
'nationaldayofencouragement encouragementdare therefore encourage one another build fact thessalonians scripture verse donate go websitelink bio call email donate community',NOT,0,0.2417346
'yearold bletchley park veteran helped defeat nazis im ready fight fascism',NOT,0,0.49787533
'walkawayfromcatholicism corrupt core become giant autocratic pedophile ring',OFF,1,0.6458275
'california patriots especially ca obamasoros attempting take house seat get control congress say tj cox shill candidate fronted dastardly duo please get vote david valadao house dist follow',OFF,1,0.22133508
'noshadenotea like community college parents still pick drop need get life together omg',NOT,0,0.39959168
'takes nigga name bio',OFF,1,0.4565339
'exactly bc slick woods unconventional look shes yea aint attractive us shit dont matter lol',NOT,0,0.8432779
'arrestgeorgesoros funds domesticterrorists antifa',OFF,1,0.15417182
'interesting gone kind background check similar fbi background checks judgekavanaugh',NOT,0,0.2752178
'conservatives govt run debt spite austerity cuts rich doubled wealth inequality via',OFF,1,0.15695675
'crowderconfronts continues expose sjw bullies paper tigers conservatives fight back truth facts dontbeafraid confrontwithtruth',OFF,1,0.1717254
'x fun yall',NOT,0,0.30702668
'antifa comrades miss nuance lot dont still people know white nationalist thats specific community uses white supremacist rhetoric employed wns gives dangerous company',NOT,0,0.7077458
'beckylynch beautiful one women wrestling absolutely need work done shes absolutely beautiful way doesnt need giant boobs fake booty simply amazing hiac',NOT,0,0.18547067
'gun control nothing people control left wants gun control want us little guys armed able defend makes harder get us behind barbedwire fences saw north korea',NOT,0,0.28723168
'alert win progressive conservatives ontario court appeal granted stay bill cut number toronto city councillors',NOT,0,0.3247743
'amazonppwwmurder food porn northwest cozy mystery dianne harmanends',NOT,0,0.30105236
'wcw wce special day week really miss im looking forward see soon dont forget love love heart heart',NOT,0,0.21036747
'barbiedreamsvideo love fux even roman feel likeyou roman actin like nicki dimelo papi papi',NOT,0,0.3274476
'martina navratilova serenawilliams got wrong via always really liked respected martina voice reason',NOT,0,0.2702268
'bodyguard far fetched alive impossible think budd worse enemy signs split personality uncertain todays episode place',NOT,0,0.50921065
'bookreviewer meet ronaldo secondyear student reindeer flying academy way breaking speed record flying contest stumbles upon mystery perplexes thoughts thanks tus mglit',NOT,0,0.13743024
'backto onevoice swomen sbornwomen took six years pensions agree need pensions back',NOT,0,0.14013405
'maine need face facts doesnt really represent anymore playing game says undecided kavanaugh know going vote confirm time dump susan collins',NOT,0,0.23836592
'twitter stop right head twitch listen amazing friend grendy plays hatofulboyfriend voiceactor making supportsmallstreamers',NOT,0,0.18216065
'biggbosstelugu many kaushalarmy cum fans',OFF,1,0.30090755
'conservatives tells philip hammond slash taxes rich corporations regulations less workers environmental protection theres nodeal brexit tory brexitshambles smallstate via',NOT,0,0.04417276
'yehundinonkibaathai naina talks educating girl making responsible also make play sports bang girl ps shoes jealous face though burning',NOT,0,0.64872557
'daysofsoloharry glad fan someone whos trying change world kind people allystands womens rights donates different causes stands gun control someone whos successful still continues humble',NOT,0,0.37852895
'castingcallshow fantastic first didnt think going like finalists shows ended loving ultimately voted amazing business opportunity anna ladd funny really want hear',NOT,0,0.30255058
'brexitshambles thursdaythoughts eu news lets avoid future bordercontrol queues givepeasachance',NOT,0,0.26336038
'democrats yet hear one righteous democrats attack insist ellison resign accused assault heard call cory spartacus booker resign admitted sexual assault stink liberals',NOT,0,0.7981894
'obasrants band dont covers missing good quality audience engagement look link',NOT,0,0.31713155
'lisaxmichaelkors sooo talented love hr much',NOT,0,0.19418988
'hurricaneflorence good sporting pinhole eye strengthening',NOT,0,0.27303734
'son knockin fuckin park',OFF,1,0.30105236
